700,160.3545332
713.0165289,153.7077131
718.9669421,150.3843031
733.0991736,152.4614344
740.9090909,150.7997294
749.8347107,152.8768606
762.8512397,147.4763194
792.6033058,131.6901218
800.0413223,124.2124493
811.5702479,123.3815968
820.4958678,117.5656292
839.4628099,130.8592693
850.2479339,125.8741543
869.214876,139.1677943
877.0247934,139.9986468
883.3471074,144.9837618
891.1570248,154.1231394
897.8512397,165.3396482
901.1983471,167.0013532
908.2644628,164.9242219
912.7272727,167.4167794
918.3057851,176.556157
921.2809917,182.7875507
925.3719008,184.0338295
928.3471074,186.1109608
932.0661157,186.526387
937.2727273,181.1258457
942.107438,180.7104195
945.8264463,184.0338295
950.2892562,185.6955345
951.4049587,189.849797
952.1487603,191.0960758
954.0082645,192.3423545
955.1239669,193.5886333
957.7272727,195.2503383
959.214876,196.4966171
960.7024793,199.8200271
961.8181818,202.7280108
964.4214876,204.3897158
968.8842975,208.5439783
